FID	X	site_id	county	date	year	site_nm	trnsct_	mdw_wd_	emrgn__	sbmrg__	pont_nm	gps_lon	gps_lat	wtr_dp_	bttm_vs	sbstrt_	org_dp_	unvgtt_	ttl_cv_	stndn__	dtrts_p	variabl	Hydrc__	Phrgmt_	Phr____	Typh_ng	Typh_gl	Typ____	Typh_lt	Typh_s_	typh_cm	hyd_bin	typh_bn	UTM	NEAR_FID	NEAR_DIST	area	perimeter	glcwc_cwi_	glcwc_cwi1	other	usgs_quad	lk_basin	wetland_na	hgm_cls1	hgm_cls2	comments	x_centroid	y_centroid	hectares	nwi	wwi	owi	hwi	lowi	h_num	ditch_cons	dykes	dams	dredging	jetty	road_const	filled	marina	waste_sewa	geo_id	country	human_mod	MeanFetch	SD_Fetch	MeanREI	SD_REI
0	1	421	Wayne	8/20/2014	2014	Round Island Wetland	1	0	3	15	7	-83.166075	42.089415	3	V	Pbl/Cbl	0	5	95	35	80	percent_cover	5	0	0	0	0	0	0	0	0	1	0	17N	214	2567.707054	137097.8055	2195.287648	850	850	 	Rockwood	DR	Round Island Wetland	RCPP	RCD	wetland extends to Frenchman Creek;	817038.4168	4667004.147	13.71	T	F	F	T	F	1	T	F	F	T	F	F	F	T	F	421	USA	1	3474.298096	1322.613037	20073.05078	1789.682129
1	2	421	Wayne	8/20/2014	2014	Round Island Wetland	1	0	3	15	9	-83.16612	42.089355	30	V	Pbl/Cbl	0	0	100	40	55	percent_cover	5	0	0	0	0	0	0	0	0	1	0	17N	214	2561.572588	137097.8055	2195.287648	850	850	 	Rockwood	DR	Round Island Wetland	RCPP	RCD	wetland extends to Frenchman Creek;	817038.4168	4667004.147	13.71	T	F	F	T	F	1	T	F	F	T	F	F	F	T	F	421	USA	1	3474.298096	1322.613037	20073.05078	1789.682129
2	3	421	Wayne	8/20/2014	2014	Round Island Wetland	3	0	5	20	9	-83.164395	42.091469	22	V	Pbl/Cbl	0	0	100	15	80	percent_cover	0	0	0	0	20	0	0	0	20	0	1	17N	214	2792.459772	137097.8055	2195.287648	850	850	 	Rockwood	DR	Round Island Wetland	RCPP	RCD	wetland extends to Frenchman Creek;	817038.4168	4667004.147	13.71	T	F	F	T	F	1	T	F	F	T	F	F	F	T	F	421	USA	1	6190.416016	2320.424805	37089.36719	4439.503418
3	4	421	Wayne	8/20/2014	2014	Round Island Wetland	3	0	5	20	10	-83.164391	42.091468	45	V	Pbl/Cbl	0	0	100	5	15	percent_cover	0	0	0	0	60	0	0	0	60	0	1	17N	214	2792.702812	137097.8055	2195.287648	850	850	 	Rockwood	DR	Round Island Wetland	RCPP	RCD	wetland extends to Frenchman Creek;	817038.4168	4667004.147	13.71	T	F	F	T	F	1	T	F	F	T	F	F	F	T	F	421	USA	1	6190.416016	2320.424805	37089.36719	4439.503418
4	5	422	Wayne	7/14/2011	2011	Elba Island Wetland	1	18	25	63	6	-83.151685	42.100552	0	Dry	Cly/Slt	5	2	60	20	70	percent_cover	0	0	0	0	0	12	0	0	12	0	1	17N	340	3765.298315	24458.76454	886.7917383	857	857	 	Rockwood	DR	Elba Island Wetland	RCPP	RCD	residential development exists	818153.6609	4667855.828	2.45	T	F	F	T	F	3	T	F	F	T	F	T	T	F	F	422	USA	1	361.007782	134.5428314	2160.105957	255.3594055
5	6	422	Wayne	7/14/2011	2011	Elba Island Wetland	1	18	25	63	7	-83.151619	42.100578	1	V	Cly/Slt	3	0	68	35	70	percent_cover	0	0	0	0	0	40	0	0	40	0	1	17N	340	3766.143032	24458.76454	886.7917383	857	857	 	Rockwood	DR	Elba Island Wetland	RCPP	RCD	residential development exists	818153.6609	4667855.828	2.45	T	F	F	T	F	3	T	F	F	T	F	T	T	F	F	422	USA	1	361.007782	134.5428314	2160.105957	255.3594055
6	7	422	Wayne	7/14/2011	2011	Elba Island Wetland	1	18	25	63	8	-83.151547	42.100603	25	V	Cly/Slt	2	0	35	10	85	percent_cover	0	0	0	0	0	25	0	0	25	0	1	17N	340	3767.378871	24458.76454	886.7917383	857	857	 	Rockwood	DR	Elba Island Wetland	RCPP	RCD	residential development exists	818153.6609	4667855.828	2.45	T	F	F	T	F	3	T	F	F	T	F	T	T	F	F	422	USA	1	361.007782	134.5428314	2160.105957	255.3594055
7	8	422	Wayne	7/14/2011	2011	Elba Island Wetland	1	18	25	63	9	-83.151496	42.100609	35	V	Cly/Slt	2	0	36	40	65	percent_cover	0	0	0	0	0	35	0	0	35	0	1	17N	340	3769.314771	24458.76454	886.7917383	857	857	 	Rockwood	DR	Elba Island Wetland	RCPP	RCD	residential development exists	818153.6609	4667855.828	2.45	T	F	F	T	F	3	T	F	F	T	F	T	T	F	F	422	USA	1	361.007782	134.5428314	2160.105957	255.3594055
8	9	422	Wayne	7/14/2011	2011	Elba Island Wetland	1	18	25	63	10	-83.151402	42.10062	52	V	Cly/Slt	1	0	16	5	90	percent_cover	0	0	0	0	0	12	0	0	12	0	1	17N	340	3772.898268	24458.76454	886.7917383	857	857	 	Rockwood	DR	Elba Island Wetland	RCPP	RCD	residential development exists	818153.6609	4667855.828	2.45	T	F	F	T	F	3	T	F	F	T	F	T	T	F	F	422	USA	1	361.007782	134.5428314	2160.105957	255.3594055
9	10	422	Wayne	7/14/2011	2011	Elba Island Wetland	2	0	35	50	6	-83.151601	42.099935	30	V	Cly/Slt	2	0	41	6	75	percent_cover	0	0	0	0	0	40	0	0	40	0	1	17N	340	3825.221643	24458.76454	886.7917383	857	857	 	Rockwood	DR	Elba Island Wetland	RCPP	RCD	residential development exists	818153.6609	4667855.828	2.45	T	F	F	T	F	3	T	F	F	T	F	T	T	F	F	422	USA	1	361.007782	134.5428314	2160.105957	255.3594055
