"","�..OID_","sit_d","trns_","date","crw_n","year","pnt_n","crd_q","wtr__","bttm_","sbst_","org__","unvg_","ttl__","stn__","dtrt_","varbl","Hyd__","Phrgmts_st","Phrgmts__1","Typh_n","Typh_g","Typh_l","Typ__","typh_","st_nm","conty","crw_c","obsrv","qa_dn","qr_fl","berng","wdth_md","wdth_mr","wdth_s","cmmnt","NEAR_FID","NEAR_DIST","MeanFetch","SD_Fetch","MeanREI","SD_REI","UTM_X","UTM_Y","EFB_cover","typ_cover","hyd_bin"
"1",0,1027,1,"7/23/2018","NRRI/UWS",2018,6,"Excellent",85,"NV","Cly/Slt",40,60,40,30,10,"percent_cover",0,0,0,0,0,30,0,30,"Firesteel River Wetland","Ontonagon","R. Rutherford","J. Rutherford",1,0,250,0,90,20,"First record of Carex michauxiana, Rhynocospora alba, Pogonia ophioglossus, and Salix pedicellaris collected for Ontonagon County.",304,11960.7511141,0,0,0,0,333108.543191572,5200001.19955291,0,0.3,0
"2",1,1027,1,"7/23/2018","NRRI/UWS",2018,7,"Excellent",105,"NV","Cly/Slt",50,75,25,20,30,"percent_cover",0,0,0,0,0,15,0,15,"Firesteel River Wetland","Ontonagon","R. Rutherford","J. Rutherford",1,0,250,0,90,20,"First record of Carex michauxiana, Rhynocospora alba, Pogonia ophioglossus, and Salix pedicellaris collected for Ontonagon County.",304,11948.7625372,0,0,0,0,333095.896774371,5199998.43948836,0,0.15,0
"3",2,1027,1,"7/23/2018","NRRI/UWS",2018,9,"Excellent",60,"NV","Cly/Slt",30,70,30,30,20,"percent_cover",0,0,0,0,30,0,0,30,"Firesteel River Wetland","Ontonagon","R. Rutherford","J. Rutherford",1,0,250,0,90,20,"First record of Carex michauxiana, Rhynocospora alba, Pogonia ophioglossus, and Salix pedicellaris collected for Ontonagon County.",304,11922.5820779,0,0,0,0,333068.961910052,5199991.40848136,0,0.3,0
"4",3,1027,1,"7/23/2018","NRRI/UWS",2018,10,"Excellent",53,"NV","Cly/Slt",30,60,40,20,10,"percent_cover",0,0,0,0,30,0,0,30,"Firesteel River Wetland","Ontonagon","R. Rutherford","J. Rutherford",1,0,250,0,90,20,"First record of Carex michauxiana, Rhynocospora alba, Pogonia ophioglossus, and Salix pedicellaris collected for Ontonagon County.",304,11908.24246,0,0,0,0,333053.788021585,5199988.16317841,0,0.3,0
"5",4,1152,1,"7/21/2021","NRRI/UWS",2021,6,"Excellent",2,"NV","Sand",70,70,30,70,90,"percent_cover",0,0,0,0,30,0,0,30,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,180,30,0,30," ",118,1021.84604984,183.051757813,3.7645199,1570.0899658,71.4949036,469417.234355584,5158485.89950403,0,0.3,0
"6",5,1152,1,"7/21/2021","NRRI/UWS",2021,7,"Excellent",12,"NV","Sand",130,70,30,50,80,"percent_cover",0,0,0,0,30,0,0,30,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,180,30,0,30," ",118,1023.57112891,183.051757813,3.7645199,1570.0899658,71.4949036,469416.751581353,5158481.34599138,0,0.3,0
"7",6,1152,1,"7/21/2021","NRRI/UWS",2021,8,"Excellent",5,"NV","Sand",120,75,25,80,60,"percent_cover",0,0,0,0,25,0,0,25,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,180,30,0,30," ",118,1025.3397062,183.051757813,3.7645199,1570.0899658,71.4949036,469415.816393944,5158478.23933932,0,0.25,0
"8",7,1152,1,"7/21/2021","NRRI/UWS",2021,9,"Excellent",10,"NV","Sand",130,75,25,80,90,"percent_cover",0,0,0,0,25,0,0,25,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,180,30,0,30," ",118,1026.91461308,183.051757813,3.7645199,1570.0899658,71.4949036,469415.487421193,5158473.7961694,0,0.25,0
"9",8,1152,1,"7/21/2021","NRRI/UWS",2021,10,"Excellent",15,"NV","Sand",120,75,25,80,70,"percent_cover",0,0,0,0,25,0,0,25,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,180,30,0,30," ",118,1027.90470607,183.051757813,3.7645199,1570.0899658,71.4949036,469415.922403407,5158468.90465029,0,0.25,0
"10",9,1152,1,"8/1/2016","NRRI/UWS",2016,6,"Excellent",26,"NV","Sand",46,40,60,20,10,"percent_cover",0,0,0,0,50,0,0,50,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,200,0,32,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1072.76986906,183.051757813,3.7645199,1570.0899658,71.4949036,469366.24641473,5158479.15710191,0,0.5,0
